Updated accumulative weights and branch weights:
Transaction 113: Accumulative weight = 31031, Branch weight = 0
Transaction 114: Accumulative weight = 88623, Branch weight = 0
Transaction 115: Accumulative weight = 136936, Branch weight = 0
Transaction 116: Accumulative weight = 89179, Branch weight = 0
Transaction 117: Accumulative weight = 26262, Branch weight = 0
Transaction 118: Accumulative weight = 117045, Branch weight = 0
Transaction 119: Accumulative weight = 181877, Branch weight = 0
Transaction 120: Accumulative weight = 26553, Branch weight = 0
Transaction 121: Accumulative weight = 106227, Branch weight = 0
Transaction 122: Accumulative weight = 49, Branch weight = 0
Transaction 123: Accumulative weight = 46060, Branch weight = 0
Transaction 124: Accumulative weight = 182336, Branch weight = 0
Transaction 125: Accumulative weight = 114084, Branch weight = 0
Transaction 126: Accumulative weight = 182336, Branch weight = 0
Transaction 127: Accumulative weight = 46060, Branch weight = 0
Transaction 128: Accumulative weight = 15772, Branch weight = 0
Transaction 129: Accumulative weight = 16977, Branch weight = 0
Transaction 130: Accumulative weight = 54098, Branch weight = 0
Transaction 131: Accumulative weight = 94, Branch weight = 0
Transaction 132: Accumulative weight = 26552, Branch weight = 0
Transaction 133: Accumulative weight = 16980, Branch weight = 0
Transaction 134: Accumulative weight = 3781, Branch weight = 0
Transaction 135: Accumulative weight = 16611, Branch weight = 0
Transaction 136: Accumulative weight = 14601, Branch weight = 0
Transaction 137: Accumulative weight = 182335, Branch weight = 0
Transaction 138: Accumulative weight = 78343, Branch weight = 0
Transaction 139: Accumulative weight = 53261, Branch weight = 0
Transaction 140: Accumulative weight = 46059, Branch weight = 0
Transaction 141: Accumulative weight = 78343, Branch weight = 0
Transaction 142: Accumulative weight = 44327, Branch weight = 0
Transaction 143: Accumulative weight = 41074, Branch weight = 0
Transaction 144: Accumulative weight = 740, Branch weight = 0
Transaction 145: Accumulative weight = 38489, Branch weight = 0
Transaction 146: Accumulative weight = 3780, Branch weight = 0
Transaction 147: Accumulative weight = 44327, Branch weight = 0
Transaction 148: Accumulative weight = 93160, Branch weight = 0
Transaction 149: Accumulative weight = 98892, Branch weight = 0
Transaction 150: Accumulative weight = 89796, Branch weight = 0
Transaction 151: Accumulative weight = 8933, Branch weight = 0
Transaction 152: Accumulative weight = 92080, Branch weight = 0
Transaction 153: Accumulative weight = 12565, Branch weight = 0
Transaction 154: Accumulative weight = 9815, Branch weight = 0
Transaction 155: Accumulative weight = 117044, Branch weight = 0
Transaction 156: Accumulative weight = 70033, Branch weight = 0
Transaction 157: Accumulative weight = 83442, Branch weight = 0
Transaction 158: Accumulative weight = 16610, Branch weight = 0
Transaction 159: Accumulative weight = 31030, Branch weight = 0
Transaction 160: Accumulative weight = 78342, Branch weight = 0
Transaction 161: Accumulative weight = 89795, Branch weight = 0
Transaction 162: Accumulative weight = 9815, Branch weight = 0
Transaction 163: Accumulative weight = 78807, Branch weight = 0
Transaction 164: Accumulative weight = 70416, Branch weight = 0
Transaction 165: Accumulative weight = 46060, Branch weight = 0
Transaction 166: Accumulative weight = 92079, Branch weight = 0
Transaction 167: Accumulative weight = 38488, Branch weight = 0
Transaction 168: Accumulative weight = 31030, Branch weight = 0
Transaction 169: Accumulative weight = 4045, Branch weight = 0
Transaction 170: Accumulative weight = 12564, Branch weight = 0
Transaction 171: Accumulative weight = 44856, Branch weight = 0
Transaction 172: Accumulative weight = 63978, Branch weight = 0
Transaction 173: Accumulative weight = 44326, Branch weight = 0
Transaction 174: Accumulative weight = 14600, Branch weight = 0
Transaction 175: Accumulative weight = 67861, Branch weight = 0
Transaction 176: Accumulative weight = 10480, Branch weight = 0
